regimenId,regimenName,treatmentLine,ageCategory,regimenAddTime
695,TDF-DTG-3TC,Third Line,,6/1/22 17:36
696,3TC-ABC-DTG-DRV/r,Third Line,,6/2/22 13:48
697,3TC-TDF-DTG/ ,Second Line,,6/4/22 5:40
698,ABC-3TC-DTG,,,6/6/22 6:29
699,TLD-DRV-ETR,Third Line,,6/6/22 11:55
700,ABC-3TC-LPV/r,,,6/7/22 11:05
701,AZT-3TC-LPV/r,,,6/7/22 11:37
702,AZT-3TC-LPV/r,,,6/7/22 11:37
703,AZT-3TC-LPV/r,,,6/7/22 11:37
704,AZT-3TC-ATV/r,,,6/7/22 11:45
705,TDF-3TC-ETR-DRV/RTV,Third Line,,6/7/22 13:35
706,DTG-DRV-RVR,Third Line,,6/8/22 8:33
707,ABC-3TC-EFV,,,6/8/22 9:11
708,ABC-3TC-EFV,,,6/8/22 9:11
709,ABC-3TC-LPV/r,,,6/8/22 9:11
710,DTG-DRV-RTV,Second Line,,6/9/22 19:41
711,ABC-3TC-LPV/r,,,6/13/22 8:28
712,ABC-3TC-LPV/r,,,6/13/22 8:28
713,ABC-3TC-LPV/r,,,6/13/22 8:28
